Drug A,Drug B
DB08816,DB08496
DB08816,DB14055
DB08816,DB01481
DB08816,DB01543
DB08819,DB06736
DB08819,DB13783
DB08819,DB00945
DB08819,DB13167
DB08819,DB13314
DB08820,DB08496
DB08820,DB14055
DB08820,DB12537
DB08820,DB12629
DB08820,DB01456
DB08822,DB04581
DB08822,DB01467
DB08822,DB13940
DB08822,DB01484
DB08822,DB01472
DB08824,DB01467
DB08824,DB13940
DB08824,DB01484
DB08824,DB01048
DB08824,DB06736
DB08826,DB01048
DB08826,DB06736
DB08826,DB13783
DB08826,DB00316
DB08826,DB00819
DB08827,DB08496
DB08827,DB14055
DB08827,DB04070
DB08827,DB12515
DB08827,DB11932
DB08828,DB12001
DB08828,DB08916
DB08828,DB00437
DB08828,DB12015
DB08828,DB03496
DB08830,DB01467
DB08830,DB13940
DB08830,DB01484
DB08830,DB00182
DB08830,DB00865
DB08833,DB08496
DB08833,DB14055
DB08833,DB03410
DB08833,DB11932
DB08833,DB00054
DB08834,DB08496
DB08834,DB14055
DB08834,DB03410
DB08834,DB00054
DB08834,DB01418
DB08836,DB04581
DB08836,DB01467
DB08836,DB13940
DB08836,DB01484
DB08836,DB01472
DB08837,DB05025
DB08837,DB01019
DB08837,DB12500
DB08837,DB15305
DB08837,DB00067
DB08838,DB02365
DB08838,DB11898
DB08838,DB06395
DB08838,DB11932
DB08838,DB00284
DB08839,DB08496
DB08839,DB14055
DB08839,DB12537
DB08839,DB01467
DB08839,DB13940
DB08840,DB01048
DB08840,DB12001
DB08840,DB06736
DB08840,DB13783
DB08840,DB00316
DB08841,DB04581
DB08841,DB01467
DB08841,DB13940
DB08841,DB07954
DB08841,DB12629
DB08844,DB12537
DB08844,DB01467
DB08844,DB13940
DB08844,DB03374
DB08844,DB01484
DB08846,DB00659
DB08846,DB00316
DB08846,DB00819
DB08846,DB00945
DB08846,DB00787
DB08857,DB08496
DB08857,DB14055
DB08857,DB03410
DB08857,DB00054
DB08857,DB01418
DB08858,DB13650
DB08858,DB13280
DB08858,DB13626
DB08858,DB14517
DB08858,DB11081
DB08860,DB08496
DB08860,DB14055
DB08860,DB03410
DB08860,DB01418
DB08860,DB09055
DB08861,DB12537
DB08861,DB01467
DB08861,DB13940
DB08861,DB01484
DB08861,DB01472
DB08862,DB06151
DB08862,DB06403
DB08862,DB00701
DB08862,DB11901
DB08862,DB11586
DB08864,DB08496
DB08864,DB14055
DB08864,DB01472
DB08864,DB14010
DB08864,DB12515
DB08865,DB08496
DB08865,DB14055
DB08865,DB12629
DB08865,DB03374
DB08865,DB04070
DB08867,DB08496
DB08867,DB14055
DB08867,DB03410
DB08867,DB02207
DB08867,DB11932
DB08868,DB02806
DB08868,DB13068
DB08868,DB01281
DB08868,DB06662
DB08868,DB01193
DB08869,DB01380
DB08869,DB00860
DB08869,DB00635
DB08870,DB08496
DB08870,DB14055
DB08870,DB02806
DB08870,DB04070
DB08870,DB13068
DB08871,DB08496
DB08871,DB14055
DB08871,DB02806
DB08871,DB03410
DB08871,DB13068
DB08872,DB12537
DB08872,DB13940
DB08872,DB01484
DB08872,DB01472
DB08872,DB14010
DB08873,DB08496
DB08873,DB14055
DB08873,DB12537
DB08873,DB12629
DB08873,DB01456
DB08874,DB08496
DB08874,DB14055
DB08874,DB03410
DB08874,DB01418
DB08874,DB06742
DB08875,DB08496
DB08875,DB14055
DB08875,DB12629
DB08875,DB03374
DB08875,DB11932
DB08877,DB08496
DB08877,DB14055
DB08877,DB02806
DB08877,DB12629
DB08877,DB03374
DB08878,DB02031
DB08878,DB04789
DB08878,DB00819
DB08878,DB00158
DB08878,DB00650
DB08879,DB02806
DB08879,DB13068
DB08879,DB16077
DB08879,DB01281
DB08879,DB00054
DB08880,DB08496
DB08880,DB14055
DB08880,DB02806
DB08880,DB03410
DB08880,DB11919
DB08881,DB08496
DB08881,DB14055
DB08881,DB11898
DB08881,DB12629
DB08881,DB03374
DB08882,DB08496
DB08882,DB14055
DB08882,DB12537
DB08882,DB11898
DB08882,DB12629
DB08883,DB08496
DB08883,DB14055
DB08883,DB12537
DB08883,DB13940
DB08883,DB07954
DB08884,DB06151
DB08884,DB00701
DB08884,DB11901
DB08884,DB11586
DB08884,DB05016
DB08885,DB00630
DB08885,DB00720
DB08885,DB01077
DB08885,DB00710
DB08885,DB06255
DB08886,DB11100
DB08886,DB06742
DB08886,DB09009
DB08886,DB01086
DB08886,DB06770
DB08887,DB08496
DB08887,DB14055
DB08887,DB03410
DB08887,DB08550
DB08887,DB00054
DB08889,DB08496
DB08889,DB14055
DB08889,DB02806
DB08889,DB03410
DB08889,DB13068
DB08890,DB00819
DB08890,DB08897
DB08890,DB08838
DB08890,DB13648
DB08890,DB00802
DB08892,DB12537
DB08892,DB13940
DB08892,DB01484
DB08892,DB01472
DB08892,DB14010
DB08893,DB01562
DB08893,DB04581
DB08893,DB02365
DB08893,DB01467
DB08893,DB13940
DB08894,DB12385
DB08894,DB03509
DB08894,DB11688
DB08894,DB02342
DB08894,DB03946
DB08895,DB08496
DB08895,DB14055
DB08895,DB02806
DB08895,DB03410
DB08895,DB04070
DB08896,DB08496
DB08896,DB14055
DB08896,DB12629
DB08896,DB03374
DB08896,DB04070
DB08897,DB02365
DB08897,DB01467
DB08897,DB13940
DB08897,DB01484
DB08897,DB01472
DB08898,DB03256
DB08898,DB02031
DB08898,DB04789
DB08898,DB00158
DB08898,DB00650
DB08899,DB08496
DB08899,DB14055
DB08899,DB12537
DB08899,DB12629
DB08899,DB01456
DB08900,DB12537
DB08900,DB01048
DB08900,DB06736
DB08900,DB13783
DB08900,DB00316
DB08901,DB08496
DB08901,DB14055
DB08901,DB01562
DB08901,DB02806
DB08901,DB12629
DB08902,DB16077
DB08902,DB00054
DB08902,DB12775
DB08902,DB15076
DB08902,DB16376
DB08903,DB08496
DB08903,DB14055
DB08903,DB03410
DB08903,DB11932
DB08903,DB12565
DB08904,DB08496
DB08904,DB14055
DB08904,DB02806
DB08904,DB01472
DB08904,DB14010
DB08905,DB08496
DB08905,DB14055
DB08905,DB12515
DB08905,DB01048
DB08905,DB12001
DB08906,DB08496
DB08906,DB14055
DB08906,DB01481
DB08906,DB02365
DB08906,DB05107
DB08907,DB11898
DB08907,DB07996
DB08907,DB08550
DB08907,DB01048
DB08907,DB05084
DB08908,DB02806
DB08908,DB13068
DB08908,DB01281
DB08908,DB06662
DB08908,DB12996
